10:08:43 [ultranest] [DEBUG] ReactiveNestedSampler: dims=4+0, resume=True, log_dir=ultra_results, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
10:08:44 [ultranest] [INFO] Sampling 400 live points from prior ...
10:09:09 [ultranest] [DEBUG] run_iter dlogz=0.3, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
10:09:09 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
10:31:56 [ultranest] [DEBUG] iteration=185, ncalls=625, regioncalls=9000, ndraw=40, logz=-26.13, remainder_fraction=98.7049%, Lmin=-24.25, Lmax=-11.99
10:31:57 [ultranest] [DEBUG] iteration=187, ncalls=627, regioncalls=9080, ndraw=40, logz=-26.10, remainder_fraction=99.9544%, Lmin=-24.23, Lmax=-11.99
10:31:57 [ultranest] [DEBUG] iteration=188, ncalls=628, regioncalls=9120, ndraw=40, logz=-26.09, remainder_fraction=99.9538%, Lmin=-24.21, Lmax=-11.99
10:31:57 [ultranest] [DEBUG] iteration=190, ncalls=631, regioncalls=9240, ndraw=40, logz=-26.07, remainder_fraction=99.9527%, Lmin=-24.19, Lmax=-11.99
10:31:57 [ultranest] [DEBUG] iteration=192, ncalls=634, regioncalls=9360, ndraw=40, logz=-26.05, remainder_fraction=99.9515%, Lmin=-24.18, Lmax=-11.99
10:31:57 [ultranest] [DEBUG] iteration=193, ncalls=636, regioncalls=9440, ndraw=40, logz=-26.04, remainder_fraction=99.9509%, Lmin=-24.17, Lmax=-11.99
10:31:58 [ultranest] [DEBUG] iteration=194, ncalls=638, regioncalls=9520, ndraw=40, logz=-26.03, remainder_fraction=99.9503%, Lmin=-24.16, Lmax=-11.99
10:31:58 [ultranest] [DEBUG] iteration=196, ncalls=640, regioncalls=9600, ndraw=40, logz=-26.01, remainder_fraction=99.9490%, Lmin=-24.13, Lmax=-11.99
10:31:58 [ultranest] [DEBUG] iteration=197, ncalls=642, regioncalls=9680, ndraw=40, logz=-26.00, remainder_fraction=99.9484%, Lmin=-24.12, Lmax=-11.99
10:31:58 [ultranest] [DEBUG] iteration=199, ncalls=644, regioncalls=9760, ndraw=40, logz=-25.98, remainder_fraction=99.9471%, Lmin=-24.10, Lmax=-11.99
10:31:58 [ultranest] [DEBUG] iteration=200, ncalls=645, regioncalls=9800, ndraw=40, logz=-25.97, remainder_fraction=99.9464%, Lmin=-24.09, Lmax=-11.99
10:31:59 [ultranest] [DEBUG] iteration=202, ncalls=647, regioncalls=9880, ndraw=40, logz=-25.95, remainder_fraction=99.9451%, Lmin=-24.07, Lmax=-11.99
10:31:59 [ultranest] [DEBUG] iteration=203, ncalls=648, regioncalls=9920, ndraw=40, logz=-25.94, remainder_fraction=99.9444%, Lmin=-24.06, Lmax=-11.99
10:31:59 [ultranest] [DEBUG] iteration=204, ncalls=649, regioncalls=9960, ndraw=40, logz=-25.93, remainder_fraction=99.9437%, Lmin=-24.06, Lmax=-11.99
10:31:59 [ultranest] [DEBUG] iteration=205, ncalls=651, regioncalls=10040, ndraw=40, logz=-25.92, remainder_fraction=99.9430%, Lmin=-24.06, Lmax=-11.99
10:31:59 [ultranest] [DEBUG] iteration=207, ncalls=653, regioncalls=10120, ndraw=40, logz=-25.91, remainder_fraction=99.9416%, Lmin=-24.04, Lmax=-11.99
10:31:59 [ultranest] [DEBUG] iteration=209, ncalls=655, regioncalls=10200, ndraw=40, logz=-25.89, remainder_fraction=99.9402%, Lmin=-24.04, Lmax=-11.99
10:32:00 [ultranest] [DEBUG] iteration=211, ncalls=659, regioncalls=10360, ndraw=40, logz=-25.87, remainder_fraction=99.9388%, Lmin=-24.02, Lmax=-11.99
10:32:00 [ultranest] [DEBUG] iteration=212, ncalls=663, regioncalls=10520, ndraw=40, logz=-25.86, remainder_fraction=99.9381%, Lmin=-24.02, Lmax=-11.99
10:32:00 [ultranest] [DEBUG] iteration=214, ncalls=665, regioncalls=10600, ndraw=40, logz=-25.84, remainder_fraction=99.9366%, Lmin=-24.00, Lmax=-11.99
10:32:01 [ultranest] [DEBUG] iteration=216, ncalls=669, regioncalls=10760, ndraw=40, logz=-25.82, remainder_fraction=99.9351%, Lmin=-23.99, Lmax=-11.99
10:32:01 [ultranest] [DEBUG] iteration=217, ncalls=671, regioncalls=10840, ndraw=40, logz=-25.81, remainder_fraction=99.9344%, Lmin=-23.99, Lmax=-11.99
10:32:01 [ultranest] [DEBUG] iteration=218, ncalls=672, regioncalls=10880, ndraw=40, logz=-25.80, remainder_fraction=99.9336%, Lmin=-23.98, Lmax=-11.99
10:32:01 [ultranest] [DEBUG] iteration=219, ncalls=673, regioncalls=10920, ndraw=40, logz=-25.80, remainder_fraction=99.9329%, Lmin=-23.98, Lmax=-11.99
10:32:01 [ultranest] [DEBUG] iteration=221, ncalls=675, regioncalls=11000, ndraw=40, logz=-25.78, remainder_fraction=99.9313%, Lmin=-23.97, Lmax=-11.99
10:32:01 [ultranest] [DEBUG] iteration=222, ncalls=676, regioncalls=11040, ndraw=40, logz=-25.77, remainder_fraction=99.9306%, Lmin=-23.96, Lmax=-11.99
10:32:02 [ultranest] [DEBUG] iteration=224, ncalls=678, regioncalls=11120, ndraw=40, logz=-25.75, remainder_fraction=99.9290%, Lmin=-23.94, Lmax=-11.99
10:32:02 [ultranest] [DEBUG] iteration=226, ncalls=680, regioncalls=11200, ndraw=40, logz=-25.73, remainder_fraction=99.9275%, Lmin=-23.93, Lmax=-11.99
